1305,羽志 主水
1306,川田 功
420,井上 哲次郎
537,久保 良英
1312,木村 荘八
1313,正岡 容
1314,青柳 喜兵衛
1311,三好 十郎
1310,高浜 虚子
1315,井上 良夫
1316,大庭 武年
923,朝永 三十郎
1317,加藤 弘之
1320,西郷 隆盛
1769,ゲラン シャルル
1322,津田 真道
1689,大木 頭
1323,西 周
1321,江南 文三
804,三宅 やす子
959,相馬 御風
1325,上村 経吉
1326,小笠原 長生
1327,肝付 兼行
1328,吉井 幸蔵
1329,ウォルトン みちよ
1331,秋月 種樹
1332,佐藤 一斎
1334,山田 済斎
1072,和田 万吉
1337,阪井 久良伎
1338,羽仁 もと子
754,福士 幸次郎
1339,岡本 帰一
1340,ブラウニング ロバート
617,千家 元麿
1293,小野 佐世男
1416,田山 録弥
542,桑木 厳翼
1175,槙本 楠郎
740,原口 統三
1346,片山 広子
467,岡倉 由三郎
924,永井 隆
1350,鈴木 鼓村
553,児玉 花外
1351,池田 蕉園
1352,池田 輝方
831,柳川 春葉
1353,岩村 透
1354,岡崎 雪声
1355,岡田 三郎助
1356,尾上 梅幸
1357,北村 四海
1358,関根 黙庵
1359,沼田 一雅
1360,平井 金三
1361,本田 親二
1344,喜田 貞吉
1362,豊田 喜一郎
1307,久保 栄
1308,徳永 直
1364,ニューコム シモン
1368,山本 実彦
1370,豊田 三郎
1371,高頭 仁兵衛
1372,柴崎 芳太郎
1373,木暮 理太郎
1374,大下 藤次郎
1375,鵜殿 正雄
1188,野中 至
1435,黒部 溯郎
1376,百瀬 慎太郎
1377,細井 吉造
1378,平野 長蔵
1379,小川 登喜男
1380,石川 欣一
863,大島 亮吉
1369,徳富 蘇峰
1222,高楠 順次郎
1341,永井 荷風
1383,谷崎 潤一郎
1381,石井 柏亭
1388,新島 襄
1212,中江 兆民
1417,中江 篤介
634,田口 卯吉
1389,シュウォッブ マルセル
1390,金剛 巌
920,金子 薫園
1391,山下 博章
1392,長谷 健
430,伊良子 清白
1393,キャロル ルイス
1394,丸山 英観
1396,原田 義人
1397,橘 外男
1395,和辻 哲郎
1399,マクラウド フィオナ
1400,松村 みね子
1402,関口 存男
810,村井 弦斎
1403,北大路 魯山人
1404,河口 慧海
793,三沢 勝衛
1407,ストレイチー リットン
1409,菅野 徳助
1410,奈倉 次郎
1408,松浦 武四郎
1412,林田 清明
927,穂積 重遠
1229,クロポトキン ピョートル・アレクセーヴィチ
1420,中山 太郎
1421,阿部 次郎
1425,小寺 菊子
1427,田部 隆次
1428,アインシュタイン アルベルト
1429,石原 純
1430,ウェルズ ハーバート・ジョージ
1263,服部 之総
1434,松本 幸四郎
1723,斎藤 三郎
1446,宮地 嘉六
1447,松崎 天民
380,浅井 洌
1454,伊藤 永之介
393,生田 長江
1455,登張 竹風
1464,クラーク ヘンリ・サヴィル
1465,東 健而
1469,河野 常吉
1471,今野 大力
1472,松井 須磨子
1474,丘 浅次郎
1398,高木 貞治
1025,ゲーテ ヨハン・ヴォルフガング・フォン
1190,アルテンベルク ペーター
1193,オイレンベルク ヘルベルト
1194,シュミットボン ウィルヘルム
1195,ダビット ヤーコプ・ユリウス
1476,大鹿 卓
1477,陳 寿
1479,風巻 景次郎
1475,小川 未明
608,杉村 楚人冠
690,中沢 臨川
1481,三木 貞一
348,范 曄
1484,魏 徴
1485,沈 約
1468,賀川 豊彦
1486,佐藤 緑葉
1487,浅沼 稲次郎
1789,日本経済新聞社 
1488,火野 葦平
1492,シゲリスト ヘンリー・Ｅ
1494,水上 茂樹
1493,ジンサー ハンス
792,三木 竹二
1497,吉井 勇
1499,外村 繁
1500,総生 寛
1501,若林 ?蔵
1336,伊庭 心猿
1505,ポター ビアトリクス
1506,片岡 義男
1516,草野 天平
1349,武田 祐吉
1518,太 安万侶
1519,稗田 阿礼
1520,柳 宗悦
309,真山 青果
1526,島袋 源一郎
1527,栗島 山之助
1588,川田 雪山
1532,川田 瑞穂
1587,楢崎 竜
1533,宇野 浩二
1534,岩本 素白
1535,津田 左右吉
1536,桂 三木助
1537,喜多村 緑郎
1538,矢内原 忠雄
1540,知里 真志保
1541,高山 毅
1542,青野 季吉
1521,長与 善郎
1543,犬養 健
1548,シェーンハイマー ルドルフ
1555,本多 静六
1556,松村 任三
1557,丹波 敬三
1558,古川 緑波
1559,村越 三千男
474,小川 正子
712,成島 柳北
1575,?上漁史 
1561,ギャロッド アーチボルド
564,斎藤 秀三郎
1101,ミルトン ジョン
1563,グルモン レミ・ドゥ
1566,柳田 国男
1568,妹尾 アキ夫
1569,中谷 宇吉郎
1574,オスラー ウイリアム
1567,橘 樸
488,小柳 司気太
1577,服部 宇之吉
1578,今村 明恒
1579,室生 犀星
1582,宇田川 文海
1584,秋田 雨雀
1585,槙村 浩
1591,ジェンナー エドワード
1595,井上 準之助
1597,李 箱
1671,津田 黄昏
1672,小竹 主
